"Bidding End Date","Timestamp","Category","Category Description","Current COE Price","Quota","Bids Received"
"05/05/2021 16:00:0","04/05/2021 03:37:0","A","CAR UP TO 1600CC & 97KW","1","832","3"
"05/05/2021 16:00:0","04/05/2021 03:37:0","B","CAR ABOVE 1600CC OR 97KW","1","819","1"
"05/05/2021 16:00:0","04/05/2021 03:37:0","C","GOODS VEHICLE & BUS","1","157","0"
"05/05/2021 16:00:0","04/05/2021 03:37:0","D","MOTORCYCLE","1","650","4"
"05/05/2021 16:00:0","04/05/2021 03:37:0","E","OPEN-ALL EXCEPT MOTORCYCLE","1","268","1"
"Bidding End Date","Timestamp","Category","Category Description","Current COE Price","Quota","Bids Received"
"05/05/2021 16:00:0","04/05/2021 03:37:4","A","CAR UP TO 1600CC & 97KW","1","832","3"
"05/05/2021 16:00:0","04/05/2021 03:37:4","B","CAR ABOVE 1600CC OR 97KW","1","819","1"
"05/05/2021 16:00:0","04/05/2021 03:37:4","C","GOODS VEHICLE & BUS","1","157","0"
"05/05/2021 16:00:0","04/05/2021 03:37:4","D","MOTORCYCLE","1","650","4"
"05/05/2021 16:00:0","04/05/2021 03:37:4","E","OPEN-ALL EXCEPT MOTORCYCLE","1","268","1"
"05/05/2021 16:00:0","04/05/2021 03:39:4","A","CAR UP TO 1600CC & 97KW","1","832","3"
"05/05/2021 16:00:0","04/05/2021 03:39:4","B","CAR ABOVE 1600CC OR 97KW","1","819","1"
"05/05/2021 16:00:0","04/05/2021 03:39:4","C","GOODS VEHICLE & BUS","1","157","0"
"05/05/2021 16:00:0","04/05/2021 03:39:4","D","MOTORCYCLE","1","650","4"
"05/05/2021 16:00:0","04/05/2021 03:39:4","E","OPEN-ALL EXCEPT MOTORCYCLE","1","268","1"
